"PatchIndex","PatchSize","Patch","MethodIndex","TestIndex","UnitTest","RepNumber","PatchValid","PatchCompiled","TestPassed","TestExecutionTime(ns)","TestCPUTime(ns)","TestTimedOut","TestExceptionType","TestExceptionMessage","AssertionExpectedValue","AssertionActualValue","NoOp","EditsValid"
"1","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":168 EQUALS -> AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"2","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":76 GREATER -> LESS_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","514223534","4691000","false","N/A","N/A","N/A","N/A","false","1"
"3","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":189 EQUALS -> LESS_EQUALS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","516133695","390000","false","N/A","N/A","N/A","N/A","false","1"
"4","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"5","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":154 LESS_EQUALS -> LESS |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","518332154","255000","false","N/A","N/A","N/A","N/A","false","1"
"6","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"7","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:66 HashSet -> LinkedHashSet |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","510305761","271000","false","N/A","N/A","N/A","N/A","false","1"
"8","1","| gin.edit.modifynode.BinaryOperatorReplacement  ""examples/triangle/Triangle.java"":183 OR -> BINARY_AND |","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509288392","261000","false","N/A","N/A","N/A","N/A","false","1"
"9","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"10","1","| gin.edit.modifynode.CollectionReplacement  examples/triangle/Triangle.java:55 ArrayList -> CopyOnWriteArrayList |","1","1","TriangleTest.testInvalidTriangles []","1","true","false","false","0","0","false","N/A","N/A","N/A","N/A","false","1"
"11","0","|","1","1","TriangleTest.testInvalidTriangles []","1","true","true","true","509954137","400000","false","N/A","N/A","N/A","N/A","true",""
